text,label
"I had a wonderful day today, everything went perfectly",low
"Feeling grateful for my supportive friends and family",low
"I'm excited about the opportunities ahead of me",low
"Today was productive and I accomplished all my goals",low
"I feel content and at peace with my life right now",low
"Been sleeping well and have lots of energy lately",low
"I'm optimistic about the future and what it holds",low
"Spent quality time with loved ones, feeling blessed",low
"Work is going great and I feel fulfilled",low
"I feel balanced and in control of my emotions",low
"I've been feeling a bit stressed about work lately",moderate
"Sometimes I worry about things more than I should",moderate
"My sleep hasn't been great this past week",moderate
"I feel overwhelmed with everything on my plate",moderate
"I've been more anxious than usual about the future",moderate
"I'm struggling to stay motivated with daily tasks",moderate
"Feel lonely sometimes even when around others",moderate
"My mood has been unpredictable recently",moderate
"I'm having trouble concentrating on important things",moderate
"Work pressure is really getting to me these days",moderate
"I feel uncertain about my relationships",moderate
"I'm not as happy as I used to be",moderate
"Social situations make me nervous and uncomfortable",moderate
"I've been feeling tired and drained most days",moderate
"Sometimes I feel like I'm not good enough",moderate
"I feel completely hopeless about my situation",high
"I don't see any point in trying anymore",high
"I feel worthless and like a burden to everyone",high
"Nothing brings me any joy or happiness anymore",high
"I'm in a very dark place mentally right now",high
"I've lost all interest in things I used to love",high
"I feel trapped with no way to escape this pain",high
"Every single day is an unbearable struggle",high
"I feel completely disconnected from everyone around me",high
"I can't imagine my life ever getting better",high
"I'm exhausted from trying to cope with everything",high
"I feel like giving up on absolutely everything",high
"I have no energy or motivation to do anything at all",high
"I've been crying constantly and feeling desperate",high
"I feel like I can't go on like this anymore",high
